F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
Europe,-280.35,-41.89,-2839.62,18187.08,1.11,-14.16,-8.89,18,Very low,11.9,8.08,-2.2,21.63,169.62,5,474.22
USA,523.98,-84.32,-3921.93,20598.75,4.59,-5.52,-5.75,12,Medium,1253.3,16,-2.19,40.2,174.24,3,3599.16
Europe,-862.62,-80.77,-3252,7298.91,1.41,61.46,-6.9,18,High,0.14,10,-2.6,17.67,200.68,2,511.83
USA,-1202.37,-71.93,-3433.47,25789.08,2.07,-17.18,-3.84,9,High,0.26,0.52,-6.25,-4.29,248.4,2,2349.49
Rest,-250.95,-111.48,-2412.3,23266.02,3.27,41.5,-10.98,12,Very low,82.52,12.8,-3.85,32.28,152.6,3,207.95
USA,-1334.04,-71.88,-2167.68,23265.99,6.26,66.5,-5.9,9,Low,3.74,5.28,-4.96,25.08,137.68,4,1321.36
USA,-537.18,-55.53,-1357.17,34550.73,1.06,33.62,-10.49,6,Low,0.34,8.9,-2.78,24.15,226.14,4,249.47
UK,-234.66,-81.82,-847.86,22045.05,5.64,-34.3,-9.97,15,High,3.6,17.08,-8.62,33.63,180.92,4,2444.47
Europe,-1602.6,-82.09,-2425.77,26944.32,5.05,55.02,-7.85,24,Very high,0.02,4.32,-10.5,36.24,-40.92,6,964.09
USA,-1148.46,-60.75,-1178.46,17881.38,4.82,69.62,-1.15,6,Very low,0.78,11.36,-0.41,2.88,152.1,0,17.45
Europe,-737.19,-89.72,-931.86,32419.38,3.75,129.9,-9.81,3,Very low,2.52,3.02,-0.21,49.47,139.88,4,0
Rest,-1087.41,-119.71,-3041.37,15304.74,2.69,144.7,-0.41,12,Low,0.48,6.84,0.99,23.58,225.26,5,57.04
Rest,-545.64,-77.43,-2027.82,38468.22,14.15,108.62,-4.58,9,Low,4.18,10.4,-3.12,35.34,219.3,2,659.99
Europe,-127.08,-79.19,-3187.62,20911.62,6.46,-9.1,-13.06,6,Medium,0.96,8,-2.44,34.11,201.12,3,1903.25
USA,-212.67,-111.59,-1900.26,24015.81,5.32,93.58,-4.87,6,Very low,0.04,1.86,-4.61,13.35,239.22,2,0
Rest,-1884.6,-93.57,-2716.47,10160.61,5.22,31.46,-3.25,9,High,3.28,3.24,-6.19,31.83,165.12,5,957.84
USA,-312.48,-140.32,-2664.15,16754.13,2.12,62.26,-6.29,18,Very low,4.98,7.5,0.25,30.45,181.4,7,110.25
Europe,-543.57,-89.22,-3206.76,22774.08,2.38,106.22,-11.34,15,High,351.42,5.96,-9.68,33.72,168.56,5,374.55
UK,-682.83,-97.76,-2351.85,17902.35,2.83,-19,-9.73,12,Medium,53.82,9.62,-2.61,38.55,192.3,1,1187.77
Rest,-1417.77,-116.77,-2448.15,66138.66,6.12,48.3,-12.28,12,Very low,53.3,8.28,-1.68,40.62,206.08,6,635.49
USA,-604.95,-128.27,-1110.54,22498.53,2.39,46.04,-1.87,6,Very low,2.12,13.7,-2.48,57.78,372.3,2,120.67
Rest,-429.06,-98.67,-2865.6,6019.5,4.02,24.9,-7.96,9,Low,0.06,4.82,-4.76,30.63,202.5,2,261.32
Europe,397.68,-72.95,-2130.18,23724.33,3.39,89.36,-4.42,6,High,5.7,8.34,-2.65,28.2,214.68,5,588.91
UK,-773.19,-87.74,-2388.15,22613.19,5.88,75.94,-8.54,6,High,0.7,4.86,-9.97,32.91,159.2,2,1075.23
UK,-1023.21,-141.17,-1922.73,34840.8,3.53,94.06,-6.28,15,Low,81.78,19.46,-5.44,35.85,264.1,3,667.95
UK,-723.84,-95.6,-2332.2,26877.93,4.56,100.82,-7.46,6,Very low,56.66,22.26,-2.43,34.32,165.34,4,2175.35
Europe,340.05,-40.06,-3465.72,42059.13,4.91,-67.44,-8.31,3,High,0.08,10.94,-4.19,28.95,154.08,3,2716.09
USA,-1249.89,-107.65,-1648.08,47493.93,2.82,95.46,-9.64,12,Low,0.7,23.96,-1.85,32.22,145.12,1,1070.68
Europe,-286.02,-61.07,-1563.45,15608.46,4.04,25.64,-1.35,12,Very low,0,6.86,-3.73,31.47,227.22,5,287.98
Rest,-1580.46,-144.68,-1895.13,-2473.38,1.32,113.48,-4.23,15,Low,12.96,6.44,-7.22,29.25,18.66,4,0
USA,1738.02,-42.64,-1999.08,29863.62,3.09,68.44,-3.77,12,High,8.1,3.52,-10.1,32.82,201.66,4,0
USA,261.06,-75.66,-1919.04,22180.5,0.63,100.04,-3.87,12,High,13.98,7.58,0.61,31.14,50.3,6,0
UK,89.34,-54.37,-1260.45,17049.87,4.81,125.82,-6.22,9,Medium,65.06,4.86,-3.71,22.5,136.08,6,0
USA,-1469.64,-108.2,-634.26,32448.51,9.82,-2.58,-9.11,6,Very high,0.06,2.38,-6.24,67.23,14.06,2,3102.52
Rest,191.28,-79.19,-2992.35,21907.23,2.34,110.56,-4.32,9,Low,0.14,9.1,-5.98,25.14,92.46,3,11.09
USA,-604.44,-114.01,-2411.04,30397.89,3.01,174.04,-7.33,9,High,19.86,0.84,0.57,20.52,233.18,4,0
UK,2016.96,-81.26,-2223.12,30034.32,8.65,173.52,-8.38,15,Medium,22.16,3.66,-8.58,45.3,189.68,3,0
UK,-863.85,-85.27,-1948.5,8207.58,3.31,37.22,-9.86,12,High,0,17.88,-7.91,31.83,209.06,6,2670.98
Rest,-1302.96,-106.84,-1086,22571.43,0.72,79.38,-15.25,9,Very high,0.22,7.24,-6.39,44.88,201.48,2,13.33
UK,-91.77,-115.64,-2953.02,44660.16,6.75,34.98,-7.31,3,Low,0.46,3.74,-2.88,14.82,181.64,4,1975.59
USA,-707.28,-63.16,-1943.7,-4383.09,3.79,109.58,-4.11,6,Very high,0.32,13.1,-3.27,39.66,235.08,2,1454.05
Rest,-197.79,-115.18,-785.34,22698.96,8.19,16.2,-8.73,21,Very low,0.06,0.92,-3.29,48.33,169,1,0
USA,-676.14,-101.81,-403.68,23111.31,2.17,129.54,-5.21,9,Very low,44.58,0.46,-0.73,29.04,182,4,0
Europe,-239.64,-89.66,-3935.22,50081.01,6.66,3,-4.21,12,Very high,0.04,16.38,-0.66,33.48,174.64,3,2851.64
USA,534.12,-113.68,-2264.58,27047.58,8.38,27.9,-11.04,12,High,1.56,9.68,-0.96,42.72,364.9,3,2611.21
UK,-577.29,-72.3,-2603.7,12278.31,1.53,-10.54,-5.89,3,Low,31.12,21.92,-1.35,0.84,70.52,4,2840.49
UK,972.21,-85.95,-1440.24,11948.01,2.5,69.98,-6.66,12,Very low,0.1,2.04,-2.16,31.74,212.3,3,0
UK,-1036.05,-95.11,-2482.14,24100.68,6.24,132.46,0.08,12,Very high,0.66,3.7,4.79,30,185.9,3,227.74
UK,-1360.14,-139.53,-2847.9,15371.61,1.29,37.82,-6.99,12,Medium,2.02,1.16,-8.59,31.02,-22.36,4,182.33
Rest,-83.31,-78.61,-766.56,-5711.22,1.49,28.44,-5.99,15,Medium,0,13.82,-3.43,33.75,129.48,7,248.81
UK,-1234.14,-123.68,-3057.21,35379.27,1.89,108.44,-13.74,12,Very low,0.1,2.84,-7.09,22.35,182.28,5,0
UK,-830.37,-134.51,-1025.97,23660.55,0.88,145.6,-5.39,12,Very high,41.2,14.86,-2.85,21.24,49.52,7,73.93
Europe,-1541.28,-101.95,-2990.07,10322.76,4.77,91.68,-3.83,6,Medium,0.42,25.14,-0.28,38.94,142.54,4,2629.34
USA,-146.7,-52.88,-1439.97,35460.72,7,143.82,-3.28,12,High,0.02,3.86,-2.99,31.2,166.16,2,0
Rest,660.54,-75.43,-1202.55,25946.97,3.32,-27.74,-8.77,12,High,25.72,4.2,1.2,10.59,220.12,4,148.54
UK,-1254.33,-106.42,-965.85,16834.02,4.45,7.12,-1.42,15,Very high,0.44,4.56,-3.62,52.14,153.9,1,22.46
Europe,-951.21,-104.66,-2244.33,20832.51,2.89,97.98,-7.64,6,Very low,0.06,10.08,-0.89,36.09,47.62,4,396.72
Europe,-1850.55,-52.53,-1177.92,29826,5.96,51.18,-11.74,6,Low,0,5.82,-3.06,7.71,62.16,6,1208.17
Rest,-633.51,-45.84,-3230.88,5372.91,0.29,99.12,-9.99,15,High,0.06,6.26,-6.71,19.41,228.52,3,19.96
USA,-1224.54,-76.42,11.52,5725.32,4.02,-22.66,-6.61,18,Very high,12.8,3.56,-4.65,30.51,271.78,6,763.04
Rest,-376.02,-126.37,-2238.6,29249.61,1.77,161.68,-3.2,6,Very low,12.36,5.82,-4.63,32.55,164.06,3,0
USA,655.83,-63.2,-3415.17,26888.28,3,96.56,-9.69,0,Very low,338.28,2.38,-2.32,42.78,171.06,6,319.32
USA,-46.29,-49.83,-3025.05,23930.13,1.08,81.98,-13.17,18,Very high,0.34,7.9,-1.91,7.86,195.72,1,0
Europe,-529.32,-87.35,-4052.76,56339.19,1.45,59.14,-5.85,6,Very low,6.38,16.56,-1.54,26.91,171.64,5,1709.64
UK,-363.72,-80.92,-1583.82,17908.26,3.69,11.62,-3.03,9,Very low,0.44,2.94,-2.92,23.91,274.2,6,51.57
Rest,-1056.99,-108.08,-816.12,15112.05,2.97,66.2,-8.78,3,Medium,10.56,3.96,-0.88,36.57,225.04,5,133.26
UK,-558.03,-36.23,-2248.77,33146.31,2.92,-80.94,-13.35,6,Low,4.74,7.34,1.05,21.45,-37.5,7,2773.9
UK,-2197.17,-143,-2382.78,5902.8,7.87,183.68,-1.19,9,High,6.42,9.96,-2.28,24.54,140.56,5,1939.06
Rest,-217.47,-73.26,-4236.87,19092.54,4.9,130.96,-13.03,12,Medium,0.26,10.56,-6.45,28.89,185.1,3,415.41
Rest,-1586.1,-101.68,-2099.01,23621.52,1.63,27.88,-10.66,12,High,224.08,6.14,0.44,34.05,243.32,4,390.46
USA,-1175.94,-97.67,-2137.65,28620.72,4.81,113.6,-7.59,12,Very high,7.74,0.12,-3.52,52.17,397.58,1,0
Rest,-125.01,-162.04,-2689.56,27689.22,0.55,18.46,-5.56,15,Low,0,6.66,-2.59,38.82,324.38,3,25.89
USA,-1233.06,-117.19,-2258.58,34663.17,1.6,59.22,-7.73,12,Very low,3.96,10.78,-5.59,41.55,171.32,4,340.67
Europe,270.12,-82.51,-2528.04,28854.3,4.77,55.28,-5.82,21,Very high,1536.14,4.46,0.72,20.07,283.52,4,194.97
Europe,-1660.98,-123.68,-4560.63,20600.25,7.24,46.24,-6.24,6,Medium,2.68,7.44,0.68,34.17,313.28,2,2370.53
Europe,162.09,-26.74,-2372.34,38786.55,3.12,54.92,-6.13,15,High,0.02,3.64,-1.7,31.44,186.22,7,523.09
Europe,-567.54,-39.1,-3545.46,33941.73,2.54,33.2,-5.22,9,High,0.08,4.96,-3.04,19.74,219.08,3,1143.66
UK,-2167.44,-102.95,-748.92,22658.64,4.86,48.88,-5.7,21,Medium,150.66,3.6,-1.62,32.19,144.54,4,0
UK,-961.05,-55.56,-2464.35,16555.98,0.47,36.2,-3.64,9,Medium,0.96,3.52,-0.01,17.82,187.06,4,107.31
USA,-726.27,-69.99,-2753.82,7842.18,2.91,35.22,-3.22,21,High,1.98,4.48,-3.81,30.33,168.06,4,371.01
Europe,-395.16,-81.52,-3800.37,17144.13,7.01,-7.16,-10.79,12,High,9.9,21.64,-4.12,26.55,173.4,5,3435.4
USA,-1199.58,-92.01,-2023.8,19775.76,4.45,39.5,-4.24,15,Very low,13.24,1.9,-7.37,-1.02,170.6,5,73.27
Europe,1306.5,-119.33,-2214.87,34973.97,1.61,75.1,-12.48,15,Very low,0.28,6.94,-2.23,13.89,298.4,3,0
Rest,-623.88,-48.56,-2063.28,27874.38,14.23,162.52,-7.75,12,High,1.3,7.9,2.2,29.76,211,4,603.3
Rest,1033.56,-54.12,-3343.11,-35169.51,0.85,38.78,-6.86,12,High,0.8,38.62,-3.46,26.58,144.72,3,1716.41
Europe,-489.42,-121.84,-2179.08,18972.18,3.9,94.96,-8.73,12,High,9.5,1.58,-2.53,33.45,107.6,3,0
USA,-972.36,-96.01,-2115.78,9487.2,6.51,53.9,-3.97,12,Low,0.38,8.38,-4.56,30.63,180.06,1,549.25
Rest,-1039.8,-84.17,-2311.38,28890.9,2.98,120.24,-11.8,9,Low,0.28,9.22,-2.15,54.57,303.18,4,105.68
Rest,-1707.33,-57.99,-1808.46,13443.18,2.5,9.04,-7.84,24,Low,54.24,5.18,-8.92,35.04,43.66,3,0
Europe,-922.8,-110.71,-2720.61,44041.68,6.15,21.74,-8.78,12,Medium,11.88,1.82,-1.6,3.69,50.6,3,887.02
USA,-414.21,-107.43,-3975.72,23455.98,1.61,150.92,-0.25,18,High,0.28,9.6,-12.41,43.23,108.02,4,143.61
USA,870.63,-112.39,-3285.6,20037,7.97,-17.56,-4.32,6,Very low,4.94,8.32,1.91,39.84,27.58,4,3377.01
USA,325.41,-92.1,-2126.91,12861.12,0.98,59.24,-10.86,18,Medium,0.18,11.88,-8.88,27.48,312.44,2,0
Europe,-2605.02,-90.87,-2965.32,6873.78,7.09,37.36,-11.8,15,Very high,0.26,3.42,-1.84,25.68,136.52,8,2551.35
Rest,1090.17,-88.54,-3180.12,27910.74,2.91,133.02,-6.64,15,Low,84.18,4.78,1.72,27.42,157.34,2,0
UK,-1984.89,-40.36,-1677.33,16908.45,5.55,-17.06,-3.41,6,High,0.04,12.8,1.48,28.5,146.78,2,2816.9
USA,-1261.35,-94.87,-3213.3,18169.2,1.98,-63.82,-11.45,9,Very high,0.02,10.32,-4.92,39.36,181.1,3,3763.35
Rest,-334.8,-118.41,-2240.13,42655.8,3.17,-43.3,-8.64,9,High,1.54,3,-5.54,25.5,291.94,3,545.06
Rest,681.39,-120.45,-494.88,42809.37,3.56,213.16,-12.49,15,Medium,0.94,6,0.01,28.5,373.54,4,0
USA,-1379.07,-77.81,-3252.24,27696.15,0.86,119.56,-10.38,12,High,0.68,13.78,-1.45,35.04,155.2,3,1365.78
Europe,-1173.99,-87.22,-3894.36,13290.24,2.57,72.54,-6.53,9,Medium,5.08,4.58,-6.5,26.28,-79.78,5,1195.16
USA,-1606.71,-85.14,-3554.52,42566.67,2,129.6,-4.37,6,Very low,58.38,6.64,-9.46,28.68,315.46,6,1059.5
Rest,-1572.51,-96.83,-2661.24,17334.54,2.51,124.36,-2.38,15,Very high,0.5,3.78,-3.32,9.84,247.72,4,117.98
USA,-2641.68,-103.15,-2153.25,19570.95,3.87,68.98,-11.79,18,Very high,0.04,3.72,-9.6,18.78,217.84,2,764.61
UK,-415.08,-98.27,-3438.09,-13760.49,3.56,21.9,1.26,9,High,3.78,1.56,1.2,33.48,157.28,5,1986.75
Rest,-881.52,-82.78,-1762.71,51402.06,0.46,96.8,-5.62,18,Medium,67.12,4.32,-1.81,32.97,240.18,1,0
UK,-1764.3,-127.13,-2613.3,9811.77,0.72,17.72,-4.62,15,Low,77.32,3.06,-1.45,34.41,177.02,4,0
USA,-129.21,-60.48,-1334.19,14140.02,10.82,-26.26,-3.49,21,Very low,15.58,2.32,-9.8,28.38,224.06,3,274.1
Rest,-364.38,-104.17,-1373.94,25243.86,1.97,-20.66,-8.08,21,High,4.22,7.74,-7.75,28.8,172.88,5,197.51
USA,-936.66,-67.53,-2669.13,50133.48,5.19,151.04,-5.8,9,Medium,4.96,2.16,-2.14,22.53,361.18,5,100.51
USA,-1394.7,-89.71,-1968,26216.46,22.16,11.18,-10.94,21,Very low,0.42,3.74,-2.4,28.14,180,1,3591.35
Europe,-1004.67,-50.33,-2145.66,23828.4,6.84,24.1,-4.4,18,High,0.72,5.52,-4.52,29.19,244.6,3,923.31
USA,716.31,-108.99,-3173.82,19315.14,3.18,131.96,-5.28,15,Very low,126.2,4.48,-0.54,30.24,-167.92,7,0
UK,-530.37,-91.89,-1453.41,39473.34,0.86,96.72,-9.95,12,Medium,371.74,9.98,-4.88,17.67,240.02,1,0
Europe,-751.95,-72.78,-2185.56,27403.53,5.22,15.36,-10.83,6,Very low,3.26,11.44,-3.91,28.29,64.38,3,1228.04
Europe,-989.85,-89.76,-2960.97,47538.27,6.46,39.36,-2.14,12,High,2031.46,18.76,-11.24,49.5,166.6,7,2864.75
Rest,-1810.77,-110.41,-2129.25,16972.08,5.28,64.78,-11.48,9,Very low,0,11.1,-3.86,-1.2,224.98,5,679.06
UK,1594.86,-83.14,-2587.44,27382.41,7.22,178.14,-7.17,9,Very high,1.16,7.64,-0.56,23.04,127.42,3,0
UK,-921.78,-86.43,-1871.19,30286.83,4.86,111.14,-7.44,18,Low,1.7,2.64,-2.66,36.45,78.58,6,0
Rest,-1352.1,-98.71,-3491.85,18014.25,3.34,59.24,-9.49,6,Very high,18.2,1.06,-5.84,13.11,198.46,4,734.56
Rest,-44.55,-60.48,-3555.06,27828.75,5.66,83.94,-7.38,15,Medium,127.26,11.08,-4.5,35.13,198.32,1,271.65
USA,-981,-49.05,-2073.87,12427.11,3.69,168.34,-6.25,15,Low,4.62,2.46,-1.66,34.05,84.78,2,0
UK,216.78,-100.51,-1486.5,36272.46,4.93,73.7,-7.08,21,Very low,2.04,9.76,-4.77,32.55,172.4,5,0
UK,160.53,-41.45,-2288.28,69185.04,3.28,130.04,-5,18,High,455.78,0.58,-3.82,35.52,217.98,6,0
USA,-922.41,-138.87,-2408.79,13393.65,5.31,40.9,-5.52,12,Medium,0,4.56,-2.59,37.53,150.82,4,1524.98
USA,-1381.08,-94.49,-934.89,27610.62,6.73,45.26,-6.63,6,Very high,2.38,4.82,-2.86,28.17,344.64,5,2870.06
UK,521.43,-84.89,-1420.53,20129.22,3.68,45.04,-5.5,12,Very high,137.52,4.24,-5.29,22.53,322.36,3,0
UK,-708.48,-88.78,-3801.9,18105.6,0.33,76.4,-13.92,6,Very low,0.18,0.94,-5.1,42.6,218.56,5,0
UK,-1009.29,-93.24,-2504.52,-2656.2,12.72,86.28,-4.75,9,Low,0.26,2.14,-1.61,33.12,163.82,2,1517.22
USA,-252.27,-156.92,-1243.71,51404.85,7,21.74,-9.74,9,Very low,1.32,10.88,-9.14,12.96,202.12,6,2189.38
USA,249.27,-100.86,-2525.97,-1251.24,2.04,64.06,-8.45,6,Low,0.02,9.98,-3.31,14.64,139.08,0,0
Rest,-843,-140.83,-2348.79,38316.57,5.21,8.52,-9.99,15,High,0.18,18.5,-7.09,29.76,164.02,5,1409.07
UK,-715.59,-37.35,-1457.34,28103.67,4.58,-9.2,-5.87,6,Very high,0.64,11,0.57,26.04,274.76,3,2533.83
UK,-1522.5,-61.17,-2952.84,24451.29,2.87,127.48,-10.36,18,Very low,62.84,2.32,-5.19,26.1,233.56,3,0
UK,281.07,-100.72,-1700.04,25868.73,4.25,114.02,-7.53,12,High,1.46,6.88,-2.66,32.82,124.14,4,0
USA,-1816.17,-70.35,-1426.26,46764.12,2.44,9.78,-4.4,15,Low,0.06,12.08,-7.01,56.76,231.82,4,1497.56
Europe,-953.97,-123.58,-1867.98,15954.99,2.02,108.94,-7.24,18,Low,0.5,10.74,-4.37,25.5,82.96,2,0
Europe,-1047.84,-115.06,-1304.67,22772.91,4.19,11.62,-10.49,27,Very low,0,9.68,-2.07,38.16,15.72,6,145.49
Europe,-1607.76,-115.74,-919.14,23191.38,5.32,40.02,-10.04,9,Very high,29.56,10.02,-3.55,35.37,117.34,0,815.31
Europe,-1953.3,-118.59,-3084.3,31512.6,4.05,88.3,-10.3,21,High,2,6.2,-5.07,17.22,230.36,8,1296.1
USA,-1625.58,-128.47,-864.78,51580.11,2.01,90.7,-12.45,9,High,3.18,12.52,-0.69,37.5,183.02,2,211.1
USA,156.66,-70.56,-2634.06,16133.13,6.93,144.64,-9.59,24,Very low,25.2,17.1,-5,32.52,204.46,5,31.81
Rest,-20.04,-115.4,-2968.62,22293.78,1.27,28.62,-6.59,9,Medium,178.52,1.78,-2.16,17.19,86.46,5,192.76
Europe,221.85,-66.57,-2145.63,24501.09,5.96,57.9,-4.78,6,Low,5.72,11.44,-8.05,24.69,145.98,2,688.71
UK,-1283.67,-92.02,-2551.68,15711.12,4.38,120.78,-5.24,6,Low,35.74,4.1,-5.55,27.66,158.8,2,0
Europe,-1006.53,-128.86,-1498.95,18786.24,1.42,134.98,-9.17,6,Medium,0,10.06,-4.1,36.75,84.3,5,139.07
UK,-1020.45,-45.68,-2299.2,18258.63,6.04,36.34,-5.26,15,High,17.06,9.72,-8.38,27.03,159.54,4,2117.32
USA,581.04,-49.08,-918.75,19077,1.6,17.22,-6.06,9,Low,39.04,7.4,-4.64,29.43,165.58,5,0
USA,-92.88,-69.21,-3930.57,23306.01,1.3,75.72,-5.35,6,Medium,1.28,17.18,-1.09,34.29,158.06,4,3313.36
Europe,413.85,-41.26,-1412.73,22401.54,1.8,78.9,-10.06,6,Low,4.14,11.38,-0.1,6.93,331.6,3,0
Rest,-1363.11,-162.44,-3074.88,27044.76,3.43,70.08,-4.56,21,Low,0.02,16.36,-1.08,29.28,128.02,3,427.82
Europe,-599.91,-50.26,-3033.6,24853.8,4.38,74.7,-5.64,12,Medium,4.38,14.3,-3.53,18.57,178.4,8,1886.84
Europe,403.77,-69.09,-2102.88,15340.92,5.51,156.74,-3.3,6,Very low,1.14,2.74,-4.71,28.83,396.48,7,0
Rest,-1981.14,-97.34,-1491.39,8950.44,5.85,103.2,-8.08,9,Very low,0,9.98,-1.08,37.65,238.74,1,93.74
Rest,134.13,-132.1,-2936.82,26675.55,1.58,31.44,-1.18,12,Medium,0.08,5.08,2.35,15.48,162.12,4,174.76
USA,-726.06,-75.51,-2591.58,36761.82,3.34,-71.84,-4.7,3,High,12.1,10.26,-10.33,28.89,195.56,5,3779.05
UK,-487.71,-100.93,-2062.68,30790.71,1.41,50.14,-0.8,12,Medium,80.88,5.44,-10.21,33.33,237.3,5,0
Rest,-1001.52,-100.9,-3087.87,47976.54,1.82,121.16,-7.03,3,Low,3.1,2.04,-5.75,38.07,209.48,4,64.44
UK,-1524.69,-96.21,-1946.55,17324.97,0.67,24.54,-6.57,18,Medium,66.58,11.7,-4.68,58.5,191.92,4,584.26
UK,-485.49,-59.42,-1121.46,14397,5.03,119.18,-7.88,9,Medium,0,13.22,-5.87,30.84,237.38,2,0
Rest,-48.36,-113.91,-2620.2,35444.97,6.55,114.6,-10.43,15,Very high,2.16,12.68,3.5,31.71,173.2,3,417.29
UK,-899.34,-126.8,-1938.54,47592.87,5.59,112.16,-12.28,6,Very high,47.3,5.58,-4.46,25.95,215.76,6,1684.39
Rest,-656.34,-44.14,-2780.94,15461.13,0.99,-61.1,-4.93,18,Medium,20,2.56,-4.89,52.05,44.46,7,583.84
Europe,-940.8,-77.38,-2535.3,22698.75,1.42,170.56,-9.08,18,Very high,1.02,29.68,-3.04,65.28,111.56,6,1543.83
UK,-776.64,-96.63,-1929.15,37313.52,9.72,6.46,-7.01,6,Very high,0.16,3.58,-5.21,21.33,79.32,3,2673.51
Rest,181.95,-101.81,-288.45,23208.24,3.84,69.58,-7.62,15,Very low,0.14,7.74,-2.87,28.98,198.02,0,0
USA,-241.71,-137.86,-2250.48,23772.63,0.51,29.58,-10.78,18,High,0.02,2.18,-3.83,22.8,142.9,7,159.39
USA,-2285.55,-113.78,-1245.45,8305.44,0.99,164.76,-9.94,12,Very low,0,8.14,-4.06,32.55,188.34,4,0
Rest,-1185.78,-58.42,-2654.16,25656.03,0.51,70.54,-3.83,12,High,0.06,1.32,-5.66,48.84,194.66,3,16.87
USA,-1617.6,-61.3,-3760.74,39241.98,8.46,129.62,-4.95,9,High,0.68,8.3,-4.33,35.4,151.42,5,3635.12
USA,-1117.11,-34.69,-3270.21,16956.69,3.65,64.28,-11.32,3,Medium,1557.06,4.92,-2.85,23.7,192.04,9,3616.65
USA,-306.42,-115.03,-1985.64,34553.67,1.4,71.8,-0.99,18,Low,4.64,3.2,-0.3,28.89,42.14,6,0
Europe,-1105.56,-146.39,-2909.7,45716.55,4.72,102.34,-6.06,12,Low,2.02,6.28,-5.17,18.27,84.1,1,51.16
Rest,-1256.22,-69.96,-2793.87,2847.78,3.17,57.02,-10.62,9,Low,2.86,6.54,-1.99,32.82,216.02,2,238.58
UK,-1167.57,-115.79,-2336.49,38383.59,9.79,31.1,-3.32,3,Low,0.2,5,-5.94,42.03,168.88,3,2537.01
UK,-1525.05,-71.11,-1286.49,48152.34,1.34,-103.74,-3.95,18,Very low,0,4.42,-6.55,33.36,171.36,8,1909.21
UK,-563.37,-102.48,-1952.43,34306.8,6.49,61.82,-6.96,9,Very high,1.66,11.52,-5.69,46.08,174.58,4,2369.29
USA,-1536.3,-126.96,-2315.52,26314.89,1.78,97.08,-8.95,18,Very high,6.76,2.58,-0.61,27.78,190.68,6,221.25
Europe,-751.68,-125.74,-1969.08,18108.15,2.25,20.5,-7.67,9,Medium,0.12,3.04,-3.85,29.64,149.02,5,604.38
Rest,-705.96,-63.54,-1631.43,21041.22,5.55,39.52,-7.19,18,Very low,18.3,9.82,-10.32,40.08,115.86,8,373.56
Europe,127.92,-119.38,-1836.57,24936.15,6.88,78.46,-4.1,3,High,0.06,11.08,-2.38,34.38,439.12,1,914.5
UK,266.01,-104.68,-2247.39,-6699.99,1.85,136.24,-1.44,6,Low,0.28,2.4,-6.67,24.36,101.02,5,0
Rest,-1302.9,-94.69,-3088.77,24676.59,4.86,77.34,-8.71,12,Very high,0,4.2,2.4,38.52,144.88,3,552.5
USA,-211.29,-48.59,-2616.6,28937.67,2.24,107.1,-2.59,15,Very high,46.34,2.26,-4.05,25.62,188.3,4,0
Europe,-387.72,-118.83,-2008.95,-986.67,1.01,-144.46,-6.16,6,Very high,0.44,6.42,5.68,32.07,37.52,7,2745.53
UK,339.36,-88.64,-1751.67,21954.87,4.38,64.26,-4.91,6,High,0.04,15.84,0.66,29.04,51.96,4,1920.49
Rest,-471.3,-83.38,-1490.85,35622.06,3.94,-7.38,-1.72,12,Low,1,16.92,-1,25.35,142.98,3,592.43
Rest,-516,-83.93,-1709.76,27079.35,4.54,-4.62,-8.16,21,High,0.62,3.66,-4.29,18.9,169.88,6,306.95
Rest,-2662.68,-83.92,-2849.22,29274.51,4.49,115.38,-5.63,12,Very high,0,16.1,-3.38,38.76,55.2,3,1146.57
Rest,-152.91,-84.78,-1998.15,24215.91,2.66,157.24,-4.55,12,Medium,28.48,3.34,-5.2,35.85,152.14,4,0
UK,-601.8,-120.92,-1716.27,30634.77,8.4,-22.58,-10.33,9,Very high,0.4,12.56,-8.78,32.85,360.98,1,2757.3
UK,-1359.06,-115.28,-2060.37,33008.28,2.56,88.22,-7.69,6,Medium,0.32,3.72,-3.45,29.1,166.58,4,54.61
UK,-240.27,-85.86,-2265.57,41843.19,3.74,177.42,-4.11,12,Very low,13.18,7.42,-4.55,29.97,213.14,6,0
Rest,1466.61,-172.12,-3432.09,25692.87,2.37,-5.46,-2.88,6,Medium,3.84,2.56,-2.54,39.48,168.02,7,546.71
Europe,478.26,-115.63,-2030.7,23664.3,1.78,37.34,-8.33,12,Medium,54.44,19.92,-6.53,64.2,255.4,4,967.33
Rest,-165.87,-74.92,-3322.92,30563.94,4.59,47.58,-5.3,18,High,1.3,9.12,-0.68,18.21,185.96,7,789.58
USA,536.46,-87.6,-2113.74,-20787.6,1.24,100.68,-4.69,18,Very low,5.42,3.64,-4.9,29.01,182.4,3,0
USA,-997.35,-68.71,-4405.47,22960.41,13.28,25.2,-9.46,21,Medium,32.36,5.68,-6.03,30.96,150.12,3,3721.82
USA,286.53,-106.29,-1445.49,36770.61,7.97,61.98,-8.25,6,Very high,56.12,13.4,-8.24,35.79,185.08,7,3613.01
USA,-811.02,-111.23,-969.87,20506.62,2.61,-4.26,-11.38,15,Very low,10.72,2.9,-2.17,35.97,256.18,3,0
Rest,-1434.33,-120.3,-792.33,2900.31,2.38,134.84,-9.59,15,Medium,95.76,1.7,2.01,45.39,229.68,7,0
