F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
15.5,-2.36,-110.64,-9.96,13.09,20,-4.66,-144.01,-11.06,260.72,-4.26,180,6.7,15.9,7.29,False
12.6,-0.81,-80.64,-9.27,14.14,20,2.22,-4.01,-9.16,440.72,-1.46,285,5.95,16.35,,False
2.92,-7.21,-47.64,-18.45,8.52,2,3.54,-80.01,-11.64,64.72,1,21,0.2,26.49,8.28,True
16.7,-0.38,-80.64,-7.35,13.79,20,-7.04,0.99,-9.3,440.72,-4.83,225,8.55,18.54,6.23,False
30.5,-2.3,-50.64,-4.41,17.59,20,-9.6,-39.01,-13.1,320.72,-5.39,990,6.2,9.66,,True
1.38,-4.72,-41.64,-32.67,8.49,2,0.68,-88.01,-10.08,54.72,3.08,75,0.87,30.99,,False
10.2,-0.3,-80.64,-9.45,12.54,20,-2.1,-44.01,-11.52,20.72,-4.25,390,6.1,16.92,6.94,False
2.78,-6.02,-47.64,-29.07,8.64,2,3.72,-80.01,-11.4,-9.28,5.84,6,0.16,30.57,,True
4,-4.24,-47.64,-24.27,8.39,2,1.58,-83.01,-13,30.72,-0.11,108,0.47,31.56,,True
13.6,-0.51,-80.64,-7.11,12.79,20,-5.86,-124.01,-7.4,440.72,-4.67,135,9.85,16.56,,False
3.02,-4.59,-41.64,-22.11,8.73,2,2.22,-64.01,-14.96,52.72,-0.21,21,0.22,26.01,,False
1.92,-3.91,-47.64,-18.06,8.08,2,4.6,-88.01,-14.46,16.72,-0.42,93,1.06,27.9,,True
20.3,-4,-50.64,-8.19,13.94,20,-5.6,0.99,-13.14,380.72,-4.35,150,7.25,15.24,,False
12.9,-0.38,-80.64,-5.22,17.14,20,-7.6,-99.01,-17.72,420.72,-5.43,1110,8.25,9.93,6.89,True
12,-1.32,-50.64,-2.4,15.49,20,-3.68,10.99,-15.88,310.72,-6,750,9.25,10.92,6.22,False
1.2,-4.32,-41.64,-17.55,8.84,2,1.24,-89.01,-12.62,8.72,1.62,48,0.47,28.32,,True
17.4,-1.47,-80.64,-9.66,13.99,20,-7.22,-109.01,-8.1,310.72,-3.89,105,7.75,12.96,6.51,False
27.4,-1.93,-80.64,-8.88,15.09,20,-6.1,10.99,-11.62,330.72,-2.39,990,8,12.69,6.66,False
19.4,-0.1,-50.64,-7.17,15.69,20,-0.6,10.99,-13.48,430.72,-4.71,390,5.7,13.29,,False
3.76,-5.14,-47.64,-22.14,8.83,2,0.9,-70.01,-10.44,38.72,-0.08,180,0.39,26.31,,True
10.6,0.35,-80.64,-6.12,14.94,20,-6.76,5.99,-15.18,330.72,-4.93,390,6.3,15.72,5.21,False
11.6,0.38,-80.64,-16.38,13.79,20,-7.18,-64.01,-7.84,130.72,-3.66,285,8.95,17.76,9.37,True
0.56,-3.78,-41.64,-17.64,8.55,2,0.72,-54.01,-10.72,22.72,-0.34,15,0.84,36.75,8.44,True
4,-5.73,-47.64,-23.22,8.51,2,5.06,-73.01,-11,8.72,-0.15,126,0.77,38.88,7.42,True
10.5,-0.01,-80.64,-6.93,14.49,20,-8.84,-114.01,-8.4,240.72,-5.54,570,8.9,13.92,,True
3.68,-3.8,-41.64,-18,8.48,2,1.08,-80.01,-11.54,56.72,-0.28,69,0.8,27.21,9.14,True
2.68,-4.27,-41.64,-21.03,8.33,2,1.54,-57.01,-12.44,4.72,0.67,189,1,31.65,8.48,True
20.8,0.03,-110.64,-8.16,14.44,20,-7.46,-154.01,-6.78,260.72,-3.83,840,8.35,15.51,,True
3.22,-4.45,-47.64,-19.2,8.32,2,0.98,-83.01,-9.16,22.72,-0.64,66,0.43,28.05,,True
1.58,-11.3,-35.64,-24,8.48,2,6.2,-60.01,-10.48,56.72,1.11,51,0.82,34.32,,True
13.6,-0.41,-80.64,-8.31,13.29,20,-5.08,-44.01,-9.24,380.72,-3.49,300,7.3,18.87,5.58,False
26.2,0.15,-80.64,-6.33,12.89,20,-5.78,-34.01,-10.54,200.72,-3.73,945,8.25,17.58,,False
3.26,-4.27,-41.64,-18.39,8.4,2,1.36,-51.01,-12.6,28.72,0.1,51,0.71,25.38,,False
14.2,0.1,-80.64,-3.78,13.84,20,-7.72,-149.01,-6.78,90.72,-4.82,165,8.3,12.96,6.44,False
15.8,-2.01,-80.64,-7.56,13.39,20,-3.24,25.99,-11.7,170.72,-3.17,630,5.85,15.06,,False
19.2,1.73,-50.64,-16.56,15.44,20,-9.56,-19.01,-12.14,10.72,-6.2,1140,9.65,11.76,,False
19.2,-1.75,-80.64,-19.44,12.74,20,-0.78,-49.01,-15.48,190.72,-2.25,1125,5.3,21.96,,False
2.04,-5.31,-47.64,-26.73,8.69,2,3.64,-71.01,-13.28,24.72,-0.35,15,0.32,26.94,8.6,True
23.2,0.58,-80.64,-6.78,16.44,20,-6.02,-39.01,-10.3,150.72,-4.91,930,6.45,11.76,8.86,True
3.2,-5.68,-41.64,-20.73,8.22,2,2.04,-54.01,-12.66,24.72,-0.23,33,0.16,32.28,,False
2.22,-4.65,-41.64,-26.64,8.8,2,3.52,-61.01,-14.58,58.72,-0.83,147,0.92,34.8,,True
15,-0.26,-50.64,-6.96,15.04,20,-6.9,10.99,-11.4,320.72,-4.03,825,8.1,11.61,6.54,False
12.3,0.09,-80.64,-4.08,14.34,20,-8.88,-14.01,-7.78,370.72,-5.39,45,10,12.42,8.45,True
3.88,-4.46,-41.64,-21.6,8.45,2,4.18,-79.01,-9.34,72.72,4.33,39,0.78,27.18,,True
29.7,-0.31,-110.64,-12.99,14.19,20,-1.84,-134.01,-11.08,260.72,-4.76,705,6.4,23.79,7.83,False
12.5,-0.19,-80.64,-7.59,15.09,20,-5.18,-44.01,-11.06,180.72,-4.64,1005,7.9,11.4,,False
15.4,-0.14,-50.64,-3.39,16.54,20,-9.56,-39.01,-13.48,230.72,-1.92,645,9.05,9.57,7.94,True
24.8,-1.59,-110.64,-9.99,14.59,20,-0.5,-149.01,-6.9,460.72,-3.86,990,5.6,20.28,,False
2.44,-4.56,-41.64,-18.39,8.12,2,2.26,-84.01,-12.18,-9.28,2.68,12,0.34,28.8,,True
22.2,1.07,-50.64,-3.45,16.64,20,-8.34,5.99,-10.24,280.72,-5.11,450,6.8,10.89,8.68,True
14.2,0.14,-80.64,-7.8,15.09,20,-8.04,15.99,-17.72,280.72,-3.24,1005,7.55,14.22,7.36,False
3.78,-4.66,-47.64,-23.97,8.36,2,1.8,-80.01,-11.42,-11.28,0.92,126,0.53,25.68,,True
16.8,1.28,-50.64,-2.97,17.44,20,-5.1,15.99,-10.14,270.72,-6,240,5.15,14.82,8,True
3.74,-5.54,-41.64,-20.82,8.06,2,3.3,-74.01,-11.5,28.72,0.49,69,0.48,26.67,6.99,False
28.4,-1.35,-80.64,-12.6,13.89,20,-5.68,-124.01,-7,310.72,-3.88,900,5.5,16.92,5.69,False
18.8,0.43,-80.64,-5.61,14.59,20,-7.22,-129.01,-10.22,30.72,-4.56,240,5.6,12.24,,False
19.9,1.04,-50.64,-5.52,15.09,20,-5.8,-59.01,-10.8,350.72,-5.19,795,9.4,11.67,7.93,True
21.9,0.17,-50.64,-14.64,14.54,20,-8.3,-34.01,-11.92,290.72,-3.03,645,9.9,15.51,,True
11.5,-0.88,-80.64,-6.09,14.54,20,-4.66,-129.01,-6.88,300.72,-4.96,60,6.3,14.82,7.66,False
3.42,-3.9,-41.64,-17.94,8.85,2,11.34,-74.01,-11.38,72.72,-0.07,198,0.97,27.06,,True
14.3,-0.77,-65.64,-3.39,13.44,20,-5.22,-74.01,-13.72,70.72,-5.87,1140,9.85,12.24,7,False
19.1,-1.38,-80.64,-12.45,15.74,20,-3.24,-134.01,-9.34,420.72,-5.45,1140,7.7,11.97,8.28,True
14.5,-0.15,-80.64,-6.6,15.69,20,-7.88,-64.01,-9.2,390.72,-4.72,390,7.4,11.07,8.61,True
24.2,0.2,-50.64,-13.62,13.54,20,-6.06,-54.01,-7.48,230.72,-3.72,405,7.45,13.53,6.98,False
28.3,0.6,-80.64,-6.69,13.19,20,-5.44,-59.01,-7.24,170.72,-3.82,660,9.35,12.57,,True
2.64,-3.78,-47.64,-18.33,8.65,2,1.5,-76.01,-14.92,56.72,3.66,144,0.04,26.67,7.76,False
0.9,-5.12,-47.64,-27.09,8.49,2,3.62,-83.01,-12.54,30.72,0.07,81,0.04,29.67,7.38,False
26.4,-1.5,-50.64,-14.7,13.14,20,-3.6,-19.01,-7.06,280.72,-3.19,195,6.1,16.62,,False
14.1,0.19,-50.64,-8.46,13.99,20,-3.52,-59.01,-15,160.72,-4.92,780,7.1,13.02,,False
1.94,-4.47,-41.64,-18.66,8.44,2,1.6,-81.01,-13.16,74.72,-0.66,27,0.64,28.44,,False
1.04,-3.64,-35.64,-18.81,8.33,2,4.66,-63.01,-10.62,-3.28,-1,9,0.9,29.13,8.41,True
2.74,-5.25,-47.64,-28.89,8.68,2,1.94,-85.01,-10.16,26.72,-0.66,222,0.2,25.32,,False
14.5,-0.8,-80.64,-11.22,16.19,20,-6.78,-89.01,-9.62,390.72,-4.02,150,5.35,12.87,6.84,True
29.5,-0.94,-80.64,-12.21,14.19,20,-4.32,-54.01,-7.22,230.72,-2.2,255,5.1,15.12,,False
3.98,-3.91,-35.64,-19.86,8.24,2,4.48,-52.01,-12.08,14.72,-0.48,75,0.59,26.97,8.12,False
16.4,-2.42,-80.64,-11.49,14.24,20,-7.9,-104.01,-9.48,440.72,1.56,750,9,13.44,,False
12.7,-0.34,-110.64,-8.49,15.49,20,-6.3,-164.01,-9.66,450.72,-5,630,6.15,16.47,,False
2.34,-3.54,-35.64,-17.19,8.82,2,2.78,-55.01,-12.88,0.72,-0.08,48,0.62,25.86,,True
3,-3.87,-41.64,-18.57,8.2,2,3.18,-62.01,-10.48,40.72,-0.4,57,0.46,27.36,7.84,False
0.98,-4.34,-47.64,-21.78,8.35,2,4.56,-84.01,-10.18,70.72,-0.35,6,0.18,27.84,7.19,False
26.1,-2.8,-50.64,-14.22,14.04,20,-5.9,-44.01,-7.08,100.72,-3.73,285,6.8,17.91,7.78,True
13.2,-0.6,-50.64,-9.81,12.94,20,-4.06,-39.01,-9.6,190.72,-3.81,360,7.8,15.36,,False
14,-1.66,-50.64,-9.96,16.39,20,-8.8,-29.01,-11.58,320.72,-2.1,510,5.65,11.49,,False
1.76,-4.34,-41.64,-18.06,8.62,2,2.44,-66.01,-10.36,24.72,-0.82,66,0.85,27.18,,True
11.3,-0.05,-110.64,-6,12.89,20,-7.56,-144.01,-8.04,100.72,-4.43,855,9.2,11.79,,True
19.8,-0.75,-110.64,-6.06,13.89,20,-4.1,-119.01,-8.1,250.72,-5.32,810,8.15,13.92,8.24,True
13.8,-1.38,-50.64,-12.45,13.09,20,-1.4,-4.01,-12.02,310.72,-0.3,660,5.3,21.75,,False
13.3,-0.35,-80.64,-7.98,13.14,20,-6.08,0.99,-8.74,70.72,-2.94,45,5.35,15.03,8.05,False
0.66,-4.57,-41.64,-17.67,8.64,2,3.12,-54.01,-12.54,56.72,0.58,33,0.84,26.61,8.78,True
3.34,-4.14,-41.64,-21.33,8.3,2,3.04,-82.01,-10,32.72,0.69,129,0.46,29.52,,False
21.3,1.26,-80.64,-7.11,15.59,20,-8.12,-114.01,-11.3,100.72,-4.66,885,6.5,17.82,,True
1.28,-7.73,-41.64,-26.4,8.43,2,1.74,-81.01,-10.92,52.72,1.9,78,0.69,25.59,7.35,False
12.1,0.16,-80.64,-3.99,15.59,20,-4.96,-99.01,-12.32,170.72,-5.51,1050,5.35,11.55,7.2,False
2.26,-6.78,-47.64,-19.41,8.22,2,1.54,-89.01,-10.54,54.72,1.24,99,0.76,25.8,,False
13.1,-0.33,-80.64,-6.51,14.89,20,-1.08,-164.01,-9.78,450.72,-4.92,1005,7.5,15.48,6.96,False
12.5,-0.37,-80.64,-6,15.74,20,-4.64,0.99,-9.06,390.72,-2.09,330,6.5,12.48,7.33,False
0.5,-5.21,-47.64,-21.06,8.19,2,5.24,-72.01,-11.98,42.72,-0.51,15,0.8,27.9,7.18,False
17.7,0.63,-50.64,-6.78,15.44,20,-8.12,-14.01,-12.9,270.72,-5.22,495,6.25,11.97,,False
12,0.11,-50.64,-2.76,17.84,20,-9.38,-69.01,-13.52,260.72,-4.92,525,5.75,12.27,7.7,True
22.7,-1.36,-80.64,-13.44,13.19,20,-3.32,5.99,-16,390.72,-3.87,915,6.9,16.62,6.54,False
2.32,-4.48,-41.64,-22.14,8.67,2,5.16,-73.01,-12.84,60.72,-0.23,51,0.16,30.72,,False
21.1,-0.43,-50.64,-8.97,15.94,20,-7.28,20.99,-11.86,250.72,-4.08,1035,5.1,17.76,,False
3.66,-5.19,-47.64,-18.69,8.51,2,1.62,-87.01,-12.04,28.72,-0.31,18,0.66,26.04,,True
28.9,-0.2,-80.64,-9.15,14.69,20,-2.6,-124.01,-7.5,310.72,-4.65,945,5.65,17.49,7.51,False
19.7,0.27,-50.64,-7.71,15.09,20,-8.42,-44.01,-10.16,190.72,-4.51,645,7.55,15.81,8.69,True
29.7,-2.68,-110.64,-10.77,12.64,20,-0.02,-154.01,-8.46,210.72,-0.93,615,5.9,17.22,,False
2.18,-3.65,-47.64,-19.26,8.42,2,1.5,-78.01,-9.56,48.72,2.66,15,0.87,33.36,,True
3.36,-5.95,-41.64,-21.75,8.48,2,6,-70.01,-10.14,76.72,2.56,3,0.26,26.49,8.12,False
27.4,-0.03,-50.64,-8.37,13.89,20,-6.44,-34.01,-7.66,100.72,-4.45,510,6.3,15.33,7.12,False
1.98,-4.47,-47.64,-19.98,8.81,2,2.18,-80.01,-10.26,80.72,-1.01,12,0.82,25.53,9.55,True
1.14,-3.68,-41.64,-18.9,8.69,2,2.38,-85.01,-9.92,26.72,0.09,27,0.23,37.53,7.88,True
3.08,-5.52,-41.64,-26.43,8.05,2,3.9,-66.01,-15.34,56.72,1.07,3,1.01,30.39,,False
13.6,0.42,-80.64,-7.08,13.24,20,-8.5,-144.01,-12.36,140.72,-5.47,975,9.15,22.74,7.26,False
3.88,-6.06,-47.64,-18.9,8.66,2,2.58,-78.01,-9.6,30.72,0.14,15,0.61,29.85,9.07,True
16.9,0.14,-50.64,-2.67,17.54,20,-10.14,-64.01,-12.62,20.72,-5.68,765,5.25,9.42,9.36,True
16.2,-1.2,-50.64,-4.8,17.04,20,-8.32,-9.01,-11.6,420.72,-5.45,495,5.45,11.91,7.65,False
13.1,-1.88,-50.64,-11.88,14.09,20,-1.9,-34.01,-12.18,390.72,-3.89,765,5.25,16.92,6.03,False
12.8,-0.52,-50.64,-8.88,14.14,20,-6.18,15.99,-9.68,280.72,-3.12,60,5.55,20.82,6.17,False
10.8,-0.89,-50.64,-10.95,13.39,20,-1.88,-24.01,-10.66,370.72,-1.73,315,6.5,17.22,,False
3.72,-4.08,-47.64,-20.55,7.79,2,2.28,-74.01,-9.96,42.72,-0.28,96,0.46,26.37,,False
0.02,-4.43,-41.64,-19.86,8.58,2,2.12,-82.01,-13.28,10.72,-0.7,21,0.07,41.25,,False
25.1,0.53,-80.64,-10.89,16.84,20,-8.82,10.99,-8.98,370.72,-1.22,570,5.25,12.45,8.98,True
2.86,-4.15,-47.64,-22.83,7.86,2,2.24,-85.01,-11.64,58.72,0.33,24,0.59,37.32,7.74,True
13.6,-0.64,-80.64,-7.29,16.54,20,-3.84,-4.01,-10.08,390.72,-4.15,30,6,14.52,,True
1.16,-5.3,-47.64,-18.78,8.52,2,1.94,-80.01,-9.86,12.72,-0.54,63,0.05,37.92,7.93,False
19.2,-0.36,-80.64,-7.8,14.54,20,-1.34,-149.01,-9.24,120.72,-5.78,735,9.15,11.1,8.75,True
22,-1.08,-80.64,-11.37,12.84,20,-1.4,-59.01,-7.48,410.72,-2.84,570,7.35,21.24,,False
16.3,-4.6,-110.64,-6.15,14.39,20,-1.34,-94.01,-13.82,290.72,-4.76,195,6.25,13.83,6,False
13.4,0.99,-80.64,-7.71,14.84,20,-8.08,-139.01,-10.58,360.72,-2.59,630,8.55,11.97,9.31,True
3.76,-3.74,-41.64,-18.48,8.51,2,5.4,-81.01,-9.06,12.72,-0.86,9,0.51,27.75,8.02,True
11.7,0.62,-35.64,-4.92,14.19,20,-6.92,25.99,-10.14,60.72,-4.32,15,9.05,11.01,,True
1.22,-5.61,-41.64,-19.08,8.52,2,1.3,-88.01,-9.54,16.72,-0.32,6,0.86,28.83,8.99,True
16.1,-4.4,-80.64,-7.35,14.09,20,-3.78,-134.01,-8.96,290.72,-4.39,750,6.65,15.03,6.81,False
2.3,-4.52,-41.64,-20.31,8.06,2,7.24,-85.01,-12.08,56.72,-0.56,6,0.49,28.65,6.18,False
0.54,-4.91,-41.64,-20.1,8.61,2,5.24,-73.01,-10.04,0.72,1.17,45,0.5,29.34,8.13,True
15.6,0.23,-80.64,-5.04,14.34,20,-3.38,-4.01,-8.9,110.72,-5.09,285,6.95,13.11,8.75,True
2.78,-3.8,-35.64,-18.06,8.78,2,2.22,-68.01,-10.14,14.72,-1.06,24,0.44,25.8,7.81,True
3.66,-5.7,-35.64,-21.6,8.51,2,2.3,-50.01,-11.06,40.72,0.17,69,0.33,25.92,6.58,False
1.22,-3.84,-47.64,-25.77,8.59,2,2.98,-72.01,-11.74,2.72,0.82,18,0.39,27.09,,True
22.9,1.15,-50.64,-5.07,16.64,20,-8.66,-64.01,-12.08,170.72,-5.88,1170,5.5,11.76,,False
3.08,-4.47,-41.64,-17.7,8.58,2,0.68,-71.01,-9.8,30.72,2.99,66,0.83,25.98,7.89,True
12.6,-1.14,-110.64,-5.16,14.44,20,-6.88,-104.01,-7.38,290.72,-4.41,255,7.95,20.4,7.6,False
2.22,-6.2,-35.64,-25.95,8.68,2,2.74,-49.01,-11.68,28.72,-0.33,3,0.37,25.2,,True
0.64,-4.48,-47.64,-20.1,8.53,2,1.7,-88.01,-11.04,72.72,-0.74,9,1,25.68,7.06,True
23.2,0.37,-80.64,-5.43,13.94,20,-1.02,-49.01,-9.16,190.72,-3.83,165,6.85,17.64,,False
22.9,0.82,-50.64,-10.08,15.49,20,-9,15.99,-10.68,170.72,-4.4,540,6.45,15.84,,True
3.06,-5.37,-41.64,-19.32,7.92,2,12.2,-87.01,-10.3,66.72,-0.12,66,0.54,27.57,,False
19.7,0.07,-80.64,-3.6,13.44,20,-4.96,-9.01,-12.66,110.72,-5.24,1095,9.25,11.01,7.79,False
3.26,-4.06,-41.64,-24.99,8.09,2,3.9,-65.01,-12.28,8.72,-0.68,108,0.74,37.68,,False
2.6,-8.63,-41.64,-19.86,8.38,2,2.38,-64.01,-10.9,80.72,-0.1,18,0.41,27.15,,False
3.78,-4.59,-41.64,-19.02,8.15,2,2.48,-86.01,-9.32,18.72,1.41,60,0.91,25.86,,True
1.68,-5.26,-41.64,-27.81,8.54,2,4.96,-55.01,-10.98,22.72,0.06,84,0.58,27.84,8.93,True
20.1,-1.91,-80.64,-12.63,14.24,20,-7.62,-129.01,-14,190.72,-4.86,1095,6.55,12.57,5.74,False
2.68,-5.6,-47.64,-18.96,8.34,2,1.42,-80.01,-9.28,30.72,-0.39,45,0.61,26.67,8.43,True
2.52,-4.75,-41.64,-24.57,8.22,2,2.88,-50.01,-9.98,10.72,0.56,6,0.62,27,,False
25.2,-0.61,-80.64,-3.54,16.59,20,-2.88,0.99,-10.98,370.72,-5.67,660,6.45,11.16,,True
3.72,-6.15,-47.64,-18.9,7.84,2,3.08,-77.01,-10.12,32.72,2.92,75,0.56,31.41,,False
3.94,-4.15,-41.64,-23.13,8.29,2,0.98,-63.01,-9.78,26.72,-0.78,54,0.58,27,,False
3.14,-3.7,-32.64,-18.06,8.75,2,1.04,-53.01,-10.2,-1.28,3.75,0,0.11,25.86,,True
3.18,-4.29,-41.64,-23.19,8.15,2,4.5,-86.01,-12.92,50.72,-0.39,27,0.94,29.37,8.9,True
16.5,-1.09,-110.64,-12.24,13.49,20,-2.92,-164.01,-6.66,260.72,-4.86,405,8.75,24.69,,False
2.78,-3.47,-41.64,-21.75,8.8,2,5.94,-84.01,-10.98,2.72,0.15,9,0.53,34.89,9.06,True
1.94,-5.36,-47.64,-18.78,8.67,2,3.8,-70.01,-13.16,46.72,-0.32,21,0.53,28.95,,True
17.9,-0.37,-80.64,-3.24,14.74,20,-7.9,-4.01,-9.04,150.72,-6.1,495,9.8,10.2,9.32,True
12.3,-1.62,-110.64,-11.58,12.99,20,-4.64,-129.01,-8.12,210.72,-3.18,45,5.05,19.86,5.2,False
12.4,0.35,-80.64,-9.39,14.84,20,-1.76,-19.01,-13.94,30.72,-2.64,555,5.6,11.52,,False
1.88,-5.88,-47.64,-26.67,8.31,2,1.48,-73.01,-11.22,34.72,0.08,60,0.55,36.87,,False
10.6,-0.51,-50.64,-12.54,13.44,20,-2.22,-9.01,-12.58,340.72,-3.07,285,6.5,21.45,6.68,False
19.7,-0.81,-50.64,-8.79,13.14,20,-3.9,-49.01,-11.12,140.72,-0.71,300,5.35,26.49,6.64,False
24.2,1.39,-50.64,-4.86,14.79,10,-8.08,-19.01,-18.26,370.72,-5.88,975,8.9,13.14,,True
3.66,-5.62,-47.64,-18.66,8.29,2,8.2,-84.01,-9.24,-1.28,-0.86,84,0.82,28.05,,True
2.1,-7.6,-47.64,-17.73,8.77,2,0.68,-79.01,-10.5,6.72,-0.62,198,0.29,28.59,7.75,True
11.9,0.27,-80.64,-5.7,14.29,20,-8.02,-109.01,-8.02,90.72,-4.3,165,7.35,20.67,9.16,True
28.2,-0.45,-50.64,-5.37,14.19,20,-7.18,-14.01,-11.44,80.72,-4.43,675,7.4,14.16,,True
0.78,-4.11,-41.64,-21.39,8.44,0,4.1,-87.01,-12.52,62.72,0.6,27,0.1,31.47,,False
4,-6.77,-35.64,-18.15,8.66,2,4.42,-62.01,-10.48,22.72,-0.76,90,0.62,28.47,,True
16.3,-0.32,-110.64,-6.96,14.19,20,-7.36,-134.01,-15.24,370.72,-4.9,945,8.25,18.84,,False
0.96,-6.35,-47.64,-18.99,8.54,2,3.38,-73.01,-17.88,70.72,0.24,45,0.47,27.48,8.11,False
2.72,-4.67,-41.64,-26.19,8.82,2,3.44,-82.01,-9.32,70.72,0.41,24,0.51,25.53,7.96,True
13.6,0.1,-80.64,-3.24,15.79,20,-9.92,30.99,-16.04,60.72,-3.35,705,8.05,12.12,,True
3.72,-5.32,-41.64,-19.62,8.01,0,1.4,-65.01,-13.72,16.72,-0.11,147,0.59,30,8.06,False
27.6,-1.85,-50.64,-8.16,14.34,20,-5.88,20.99,-10.04,420.72,-3.71,330,7.05,18.27,,False
3.52,-5.42,-35.64,-24.24,8.47,2,2.58,-64.01,-11.4,42.72,-0.78,21,0.27,33.66,,False
18.4,-1.37,-80.64,-7.74,13.44,20,-6.58,-14.01,-7.7,60.72,-3.89,255,5.8,24.63,7.3,False
27.2,-5.4,-50.64,-5.4,14.79,20,-5.3,25.99,-9.18,40.72,-5.55,240,6.8,18,,True
2.3,-6.24,-47.64,-21.39,8.44,2,0.88,-80.01,-11.26,74.72,-0.16,39,0.93,25.98,7.95,True
16.6,0.3,-50.64,-16.41,15.24,20,-8.7,-14.01,-12.4,410.72,-3.64,1035,8.85,17.1,7.4,False
1.98,-4.25,-41.64,-18.36,8.7,2,1.52,-81.01,-12.82,22.72,-0.96,87,0.84,25.86,,True
11.9,-1.26,-110.64,-7.53,14.59,20,-6.08,-84.01,-7.56,360.72,-4.33,285,5.95,14.13,,False
14.2,0.69,-80.64,-4.95,13.79,20,-7.38,-24.01,-11.26,100.72,-5.39,915,8.65,13.14,7.47,False
1.68,-4.07,-41.64,-36.54,8.78,2,2.38,-83.01,-11.36,12.72,-0.92,123,0.44,25.83,8.25,True
16.7,0.76,-110.64,-5.58,15.59,20,-8.28,-79.01,-8.48,80.72,-5.85,570,6.65,10.44,9.02,True
14.3,-0.34,-80.64,-5.79,16.59,20,-8.16,-59.01,-10.8,420.72,-2.76,705,5.8,13.35,7.85,False
11.2,-0.07,-50.64,-9.03,13.94,20,-5.66,20.99,-11.28,290.72,-2.38,90,6.95,15.9,,False
13,0.02,-50.64,-9.12,14.74,20,-8.16,0.99,-14.3,110.72,-4.72,1050,6.05,14.16,7.1,False
12.1,-0.79,-80.64,-1.74,16.74,20,-9.78,-69.01,-10.04,300.72,-5.61,600,8.7,15.45,9.29,True
10.9,0.04,-80.64,-5.49,16.39,20,-9.42,-69.01,-15.96,230.72,-5.7,975,7,11.34,,False
21,0.22,-50.64,-6.6,16.84,20,-7.94,-39.01,-11.96,440.72,-4.2,825,6.7,12.45,,False
12.5,0.92,-50.64,-3.03,15.74,20,-8.88,-59.01,-13.56,110.72,-5.18,915,9.2,10.77,7.94,True
24.9,-1.38,-50.64,-3.81,15.24,20,-4.08,-4.01,-8.7,60.72,-5.59,210,5.8,11.16,8.95,True
2.44,-9,-47.64,-20.97,7.96,2,2.18,-72.01,-10,46.72,0.08,9,0.78,27.33,7.44,False
19,1.11,-110.64,-5.16,15.54,20,-8.2,-84.01,-7.76,320.72,-3.47,795,7.4,11.67,,True
1.1,-3.91,-41.64,-20.94,8.71,2,1.56,-73.01,-12.78,38.72,2.09,87,0.19,25.41,7.37,False
0.58,-6.18,-47.64,-18.45,8.64,2,1.94,-87.01,-15.9,24.72,-0.4,78,0.91,29.34,9.5,True
20.7,0.72,-80.64,-10.05,13.54,20,-7.66,-109.01,-6.98,-9.28,-3.38,555,6.8,16.02,,True
14.2,0.97,-80.64,-5.01,15.84,20,-6.84,-104.01,-8.58,110.72,-4.2,720,5.8,12.42,9.44,True
15,0.47,-80.64,-8.43,13.29,20,-6.18,-39.01,-12.5,380.72,-2.72,1155,9.55,13.08,,False
23.3,0.57,-110.64,-8.88,13.69,20,-7.48,-84.01,-8.68,-9.28,-2.77,960,9.5,12.18,,True
1.34,-3.9,-41.64,-25.44,8.77,2,2.92,-78.01,-10.98,24.72,0.13,24,0.71,36.18,9.76,True
0.4,-3.82,-41.64,-17.85,8.57,2,2.24,-68.01,-10.98,2.72,-0.38,78,0.61,27.63,8.1,True
2.1,-5.81,-41.64,-18.6,8.68,2,4.34,-80.01,-10.44,14.72,-0.48,99,0.98,24.78,8.4,True
14.9,0.57,-110.64,-4.38,14.19,20,-9.18,-114.01,-9.22,120.72,-4.14,1050,8.85,14.73,,True
2.08,-5.26,-35.64,-31.68,8.45,2,1.74,-53.01,-17.34,38.72,0.51,18,0.69,33.51,,False
2.78,-5.22,-47.64,-21.36,8.53,2,9.82,-73.01,-12.76,68.72,-0.66,117,0.05,29.01,,False
2.56,-3.92,-41.64,-17.94,8.56,2,6.48,-76.01,-10.98,60.72,-0.55,51,0.7,25.35,7.41,False
2.14,-5.76,-47.64,-22.14,8.59,2,1.24,-71.01,-14.38,40.72,-0.52,78,0.63,26.22,,True
2.46,-3.89,-47.64,-22.62,8.39,2,4,-71.01,-13.58,28.72,-0.57,6,0.04,29.79,,False
28.2,-0.4,-50.64,-10.11,14.24,20,-3.68,-14.01,-10.88,160.72,-2.98,795,5.35,17.88,,False
3.36,-4.55,-47.64,-32.97,7.85,2,4.46,-79.01,-12.74,68.72,0.73,123,0.94,31.08,,False
0.8,-4.24,-41.64,-19.47,8.82,2,3.14,-66.01,-10.1,60.72,0.29,27,0.26,25.53,7.84,False
17.7,0.96,-50.64,-4.53,16.24,20,-9.22,5.99,-11.56,280.72,-5.54,1035,7.6,19.32,7.59,False
2.9,-5.16,-47.64,-20.67,8.05,2,2.96,-80.01,-11.18,34.72,1.3,51,0.05,32.1,,False
0.6,-3.95,-41.64,-21.75,8.59,2,5.28,-70.01,-10.7,54.72,-0.31,51,0.97,26.64,9.6,True
12.8,-1.5,-110.64,-3.45,16.74,20,-8.96,-159.01,-10.7,320.72,-5.9,1095,8.05,9.51,,True
